Stigma,Visibility,Persistent Course,Disrupt,Unappealing Aesthetics,Controllable Origin,Peril
Autism or Autism Spectrum Disorder,2.4,4.2,3.0,2.0,2.4,2.4
Bipolar Disorder Symptomatic,2.8,5.3,3.3,2.1,2.0,2.5
Blind Completely,2.3,4.7,3.4,2.2,2.8,2.2
Cleft Lip And Palate Current,2.7,5.2,2.9,2.8,2.4,0.8
Deaf Completely,2.4,5.1,2.7,1.6,2.8,1.2
Facial Scars,2.2,4.0,2.3,2.9,2.7,2.0
Mental Retardation,3.9,5.9,4.1,4.1,3.1,3.6
Movement/Gait Impairment Current Average Severity,2.8,3.4,2.8,2.5,2.5,1.6
Schizophrenia Symptomatic,2.7,5.3,3.7,2.5,2.3,2.7
Short,2.3,3.7,1.3,1.2,3.2,0.6
Speech Disability,2.5,3.92,2.9,2.3,2.3,2.3
Stroke recent average impairment,2.6,3.3,2.7,2.1,2.5,0.5
Unattractive,3.1,3.8,2.1,1.5,3.2,1.2
Using a Wheelchair all the Time,2.2,4.5,2.8,2.0,2.4,2.0
 Alcohol Dependency Current,2.8,4.5,3.3,2.7,2.7,2.8
Bacterial Sexually Transmitted Disease,2.8,5.3,3.3,3.9,2.6,4.2
Cocaine use recreationally,4.0,4.6,4.0,3.3,3.5,3.3
Criminal Record,3.4,3.9,3.2,2.6,3.5,3.2
Crystal Methamphetamine Use Recreationally,3.8,4.7,4.5,4.0,2.9,4.0
Drug Dealing,4.4,4.6,5.2,3.5,3.7,3.3
Drug Dependency Current,3.2,4.7,3.6,3.2,2.4,2.8
Gang Member Currently,3.9,4.8,5.1,3.5,3.7,3.8
Genital Herpes,3.5,4.9,3.5,3.8,3.4,2.8
HIV Average Symptoms,2.5,4.3,2.6,3.2,2.5,2.7
Homeless,3.7,4.2,3.8,3.3,2.9,3.2
Injection Drug Use,3.2,4.5,3.7,3.6,2.8,3.1
On Parole Currently,3.0,4.2,2.9,2.0,3.2,2.5
Sex Offender,4.3,4.4,4.5,4.0,3.4,3.7
Asian American,1.9,4.1,1.3,1.1,2.6,0.8
Black/African American,2.2,5.6,2.0,0.6,3.1,2.1
Latina/Latino,2.1,5.0,1.4,1.2,2.4,1.4
Middle Eastern,2.1,5.2,1.4,1.7,2.8,1.2
Multiracial,2.0,4.1,1.4,1.5,3.0,0.1
Native American,2.5,4.8,2.1,2.3,3.1,1.1
Old Age,2.5,6.0,2.4,2.2,2.3,1.5
South Asian,2.3,4.2,1.4,1.4,3.2,1.6
Asexual,1.8,4.3,2.6,1.8,3.2,0.2
Atheist,2.1,3.6,1.9,1.0,3.5,0.1
Bipolar Disorder Remitted,2.0,4.0,2.2,1.5,2.6,1.0
Breast Cancer Current Average Symptoms,3.3,5.2,2.4,1.9,2.7,0.2
Breast Cancer Remitted,2.1,4.7,1.8,1.1,2.5,0.0
Chest Scars,2.5,3.6,1.9,2.7,3.2,2.3
Colorectal Cancer Current Average Symptoms,2.8,3.4,0.8,1.9,2.6,0.0
Colorectal Cancer Remitted,2.1,4.0,1.3,1.3,2.6,0.0
Depression Remitted,2.2,3.2,1.3,0.82,2.6,0.2
Diabetes Type 2,2.1,4.6,2.7,1.7,2.3,0.8
Divorced Previously,2.4,3.4,1.8,1.5,3.4,0.6
Documented Immigrant,2.3,4.4,2.0,1.6,3.4,2.0
Fundamentalist Christian,2.5,5.0,2.5,1.5,3.3,2.1
