Stigma,Visibility,Persistent Course,Disrupt,Unappealing Aesthetics,Controllable Origin,Peril
Autism or Autism Spectrum Disorder,3.5,4.5,4.7,3.5,3.1,2.7
Bipolar Disorder Symptomatic,4.45,4.4,4.1,4.2,3.0,3.4
Blind Completely,0.0,6.0,5.2,4.7,2.2,4.28
Cleft Lip And Palate Current,3.1,3.3,3.1,4.6,2.58,2.65
Deaf Completely,0.1,5.1,5.3,5.5,2.58,4.8
Facial Scars,3.0,3.77,3.5,2.5,2.9,2.7
Mental Retardation,4.1,4.7,4.2,4.95,2.85,2.7
Movement/Gait Impairment Current Average Severity,3.4,4.38,3.7,2.8,3.3,2.83
Schizophrenia Symptomatic,4.1,5.5,4.4,4.9,3.4,4.1
Short,2.54,3.8,2.4,3.2,3.8,1.9
Speech Disability,3.2,4.3,3.2,2.75,2.1,2.35
Stroke recent average impairment,2.95,2.88,3.62,3.12,3.5,3.0
Unattractive,3.0,3.8,3.15,3.1,4.42,2.35
Using a Wheelchair all the Time,3.8,5.6,3.6,2.7,3.5,3.23
 Alcohol Dependency Current,3.73,3.7,4.4,4.3,3.52,3.8
Bacterial Sexually Transmitted Disease,3.8,4.33,4.7,4.3,2.9,3.02
Cocaine use recreationally,2.62,4.95,3.3,3.5,2.5,2.8
Criminal Record,4.53,4.87,4.0,3.3,3.2,3.5
Crystal Methamphetamine Use Recreationally,3.5,4.6,4.0,4.1,4.22,3.2
Drug Dealing,5.03,5.9,5.62,4.38,4.3,4.3
Drug Dependency Current,4.2,3.7,4.58,4.2,3.5,3.9
Gang Member Currently,3.7,3.38,4.5,4.7,2.35,4.5
Genital Herpes,4.1,4.1,3.62,4.1,3.17,2.7
HIV Average Symptoms,4.1,3.9,2.8,2.62,4.1,2.4
Homeless,4.1,4.87,4.0,3.15,2.85,2.8
Injection Drug Use,4.3,4.7,3.85,3.8,3.92,2.3
On Parole Currently,2.8,4.6,4.2,2.6,4.1,2.3
Sex Offender,4.83,4.42,4.5,4.3,2.4,3.2
Asian American,2.8,3.73,3.2,2.25,2.5,3.0
Black/African American,2.9,5.0,3.38,2.4,3.17,2.8
Latina/Latino,1.8,3.2,3.5,2.8,2.88,3.5
Middle Eastern,2.9,4.8,3.4,2.5,3.75,2.65
Multiracial,3.23,3.0,3.3,2.1,3.5,2.8
Native American,3.05,5.12,2.0,3.2,3.2,2.0
Old Age,3.2,6.0,2.92,2.5,2.7,2.56
South Asian,2.67,3.92,2.95,2.8,4.1,3.0
Asexual,3.3,4.0,2.52,2.9,3.6,1.2
Atheist,3.3,3.6,2.73,2.9,3.0,2.3
Bipolar Disorder Remitted,2.75,4.0,3.7,3.0,4.3,1.38
Breast Cancer Current Average Symptoms,2.83,3.4,3.7,3.98,2.62,2.5
Breast Cancer Remitted,3.0,5.1,3.08,2.92,3.1,3.0
Chest Scars,2.9,3.1,3.08,2.42,2.6,2.88
Colorectal Cancer Current Average Symptoms,3.0,4.5,4.25,2.85,4.08,2.8
Colorectal Cancer Remitted,2.23,3.3,2.83,3.4,3.0,2.6
Depression Remitted,3.0,4.0,2.4,3.5,3.8,2.3
Diabetes Type 2,3.4,3.88,3.0,2.0,3.2,2.7
Divorced Previously,3.2,2.9,3.4,3.4,3.25,2.88
Documented Immigrant,3.2,3.67,2.15,1.68,5.0,3.33
Fundamentalist Christian,3.3,5.08,3.1,3.3,2.0,2.2
Had an Abortion Previously,2.0,2.9,4.2,3.5,2.2,2.58
Heart Attack Recent Average Impairment,4.4,3.27,4.5,2.48,2.92,2.88
Infertile,3.6,5.2,3.55,2.98,3.1,2.5
Intersex,3.5,4.3,3.65,3.4,2.7,2.6
Jewish,2.6,3.8,1.0,2.42,3.6,1.2
Lesbian/Gay/Bisexual/Nonheterosexual,3.08,4.2,4.03,2.9,2.4,2.8
Less Than a High School Education,2.9,2.8,3.2,3.5,3.4,2.45
Limb Scars,2.7,3.48,2.4,2.6,3.73,2.2
Lung Cancer Current Average Symptoms,4.35,3.46,3.3,2.12,4.3,2.88
Lung Cancer Remitted,3.8,2.15,4.25,2.58,5.2,2.55
Movement/Gait Impairment Remitted Average Severity,3.83,3.2,3.25,3.88,3.0,2.6
Prostate Cancer Current Average Symptoms,4.1,3.62,2.54,3.3,3.4,2.23
Prostate Cancer Remitted,3.0,3.2,3.62,4.78,3.38,3.7
Psoriasis Remitted Average Severity,3.75,3.8,3.5,3.4,2.42,2.7
Teen Parent Currently,3.0,3.7,3.8,3.35,3.2,2.6
Teen Parent Previously,3.08,3.1,3.58,3.7,3.4,2.6
Unemployed,3.1,4.5,3.1,3.1,2.8,2.0
Voluntarily Childless,3.62,4.4,2.6,2.75,3.9,3.17
Was Raped Previously,4.15,4.6,3.9,4.4,2.73,2.9
Working Class or Poor,3.6,5.0,3.4,2.77,3.2,2.9
Working in a Manual Industry,2.73,4.75,2.9,2.8,3.62,2.4
Working in a Service Industry,2.3,1.7,3.1,2.77,2.92,2.1
Alcohol Dependency Remitted,4.1,3.23,2.6,2.63,2.8,1.8
Depression Symptomatic,3.4,2.7,4.0,3.55,3.3,2.7
Drug Dependency Remitted,4.1,3.7,3.12,2.5,2.83,2.5
Fat/Overweight/Obese Current Average Severity,3.05,3.1,2.8,4.9,2.25,2.27
Fat/Overweight/Obese Remitted Average Severity,3.3,3.83,3.7,3.62,3.9,2.7
Fecal Incontinence,4.7,4.4,4.5,4.3,2.83,3.23
Having Sex for Money,3.67,4.83,5.38,4.2,3.4,4.42
Illiteracy,4.1,3.52,3.65,3.6,3.62,2.9
Living in a Trailer Park,3.0,3.2,3.1,2.8,2.9,3.5
Living in Public Housing,4.0,4.8,3.73,3.25,3.5,2.92
Marijuana Use Recreationally,3.3,3.6,3.5,2.6,3.9,3.35
Multiple Body Piercings,2.9,2.62,3.55,3.1,3.5,2.25
Multiple Facial Piercings,2.9,3.25,2.6,2.12,2.12,3.4
Multiple Tattoos,2.4,3.96,3.27,3.12,3.55,2.92
Muslim,3.4,3.3,3.23,3.4,3.27,1.7
Polyamorous,2.54,4.2,2.9,3.0,3.8,3.77
Psoriasis Current Average Severity,3.3,3.73,2.6,3.5,3.0,2.8
Schizophrenia Remitted,3.2,3.83,3.1,3.5,3.12,2.6
Smoking Cigarettes Daily,4.1,4.7,4.25,3.58,2.2,3.3
Transgender,3.55,4.3,3.4,4.3,2.8,3.1
Undocumented Immigrant,5.3,4.8,4.2,3.4,2.9,3.4
Urinary Incontinence,3.23,2.88,3.7,3.2,2.83,3.27
